BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE,TICKER
TQBR,2023-09-29,0.3459,138930000,48001057,MRKP
TQBR,2023-10-02,0.3406,146730000,50775679,MRKP
TQBR,2023-10-03,0.3399,152920000,51775031,MRKP
TQBR,2023-10-04,0.3399,101930000,34887694,MRKP
TQBR,2023-10-05,0.3345,75190000,25295635,MRKP
TQBR,2023-10-06,0.3343,61630000,20529253,MRKP
TQBR,2023-10-09,0.3374,114200000,38644680,MRKP
TQBR,2023-10-10,0.3378,81570000,27581948,MRKP
TQBR,2023-10-11,0.3382,68000000,23033900,MRKP
TQBR,2023-10-12,0.3353,67900000,22749658,MRKP
TQBR,2023-10-13,0.3356,45610000,15340899,MRKP
TQBR,2023-10-16,0.3421,125380000,42819038,MRKP
TQBR,2023-10-17,0.3442,117000000,40224638,MRKP
TQBR,2023-10-18,0.3411,97230000,33388883,MRKP
TQBR,2023-10-19,0.3421,96230000,32808140,MRKP
TQBR,2023-10-20,0.3397,57240000,19472362,MRKP
TQBR,2023-10-23,0.3418,60270000,20512472,MRKP
TQBR,2023-10-24,0.3472,269200000,92407673,MRKP
TQBR,2023-10-25,0.3592,391780000,138823622,MRKP
TQBR,2023-10-26,0.3462,279470000,98542368,MRKP
TQBR,2023-10-27,0.3484,210390000,72254680,MRKP
TQBR,2023-10-30,0.3466,115270000,40307609,MRKP
TQBR,2023-10-31,0.3412,189330000,64693128,MRKP
TQBR,2023-11-01,0.3423,67970000,23296984,MRKP
TQBR,2023-11-02,0.34,54890000,18762295,MRKP
TQBR,2023-11-03,0.3363,91600000,30822041,MRKP
TQBR,2023-11-06,0.3396,42380000,14337097,MRKP
TQBR,2023-11-07,0.3396,57020000,19302847,MRKP
TQBR,2023-11-08,0.3416,73420000,24973662,MRKP
TQBR,2023-11-09,0.3358,74480000,25145853,MRKP
TQBR,2023-11-10,0.3348,65820000,22081138,MRKP
TQBR,2023-11-13,0.331,115880000,38668825,MRKP
TQBR,2023-11-14,0.3228,270600000,87835731,MRKP
TQBR,2023-11-15,0.3335,160880000,52226448,MRKP
TQBR,2023-11-16,0.3298,127930000,42424487,MRKP
TQBR,2023-11-17,0.3266,73930000,24092499,MRKP
TQBR,2023-11-20,0.3258,70510000,23075734,MRKP
TQBR,2023-11-21,0.323,68420000,22145344,MRKP
TQBR,2023-11-22,0.323,51950000,16884538,MRKP
TQBR,2023-11-23,0.3228,66790000,21642826,MRKP
TQBR,2023-11-24,0.3225,62940000,20378645,MRKP
TQBR,2023-11-27,0.317,122890000,39254471,MRKP
TQBR,2023-11-28,0.335,617560000,204054952,MRKP
TQBR,2023-11-29,0.334,180470000,60526078,MRKP
TQBR,2023-11-30,0.3305,269100000,89725355,MRKP
TQBR,2023-12-01,0.3271,123960000,40700512,MRKP
TQBR,2023-12-04,0.3138,185600000,59354811,MRKP
TQBR,2023-12-05,0.3132,179190000,55567671,MRKP
TQBR,2023-12-06,0.308,112950000,34906443,MRKP
TQBR,2023-12-07,0.3029,230630000,69710365,MRKP
TQBR,2023-12-08,0.3019,87830000,26724660,MRKP
TQBR,2023-12-11,0.3015,93780000,28363932,MRKP
TQBR,2023-12-12,0.304,103900000,31263383,MRKP
TQBR,2023-12-13,0.303,104480000,31851487,MRKP
TQBR,2023-12-14,0.301,59480000,18050341,MRKP
TQBR,2023-12-15,0.3055,90480000,27503816,MRKP
TQBR,2023-12-18,0.316,149410000,46792752,MRKP
TQBR,2023-12-19,0.321,172540000,55182839,MRKP
TQBR,2023-12-20,0.3198,78410000,25280497,MRKP
TQBR,2023-12-21,0.3139,92350000,29028670,MRKP
TQBR,2023-12-22,0.318,106840000,33861534,MRKP
TQBR,2023-12-25,0.3162,274350000,88169972,MRKP
TQBR,2023-12-26,0.3106,281760000,87315496,MRKP
TQBR,2023-12-27,0.3149,253000000,79489882,MRKP
TQBR,2023-12-28,0.3085,133630000,41452718,MRKP
TQBR,2023-12-29,0.3102,106480000,32824113,MRKP
TQBR,2024-01-03,0.3157,46480000,14648590,MRKP
TQBR,2024-01-04,0.3194,67820000,21633248,MRKP
TQBR,2024-01-05,0.3196,63610000,20337640,MRKP
TQBR,2024-01-08,0.3245,101540000,32841419,MRKP
TQBR,2024-01-09,0.3368,426680000,141900496,MRKP
TQBR,2024-01-10,0.342,201470000,68346546,MRKP
TQBR,2024-01-11,0.3339,152090000,51154342,MRKP
TQBR,2024-01-12,0.3381,123950000,41996582,MRKP
TQBR,2024-01-15,0.341,136630000,46546011,MRKP
TQBR,2024-01-16,0.3401,154690000,52812389,MRKP
TQBR,2024-01-17,0.3427,175970000,60588238,MRKP
TQBR,2024-01-18,0.3443,105090000,36257325,MRKP
TQBR,2024-01-19,0.3414,114000000,39085976,MRKP
TQBR,2024-01-22,0.3464,143950000,49615601,MRKP
TQBR,2024-01-23,0.3467,295020000,102432357,MRKP
TQBR,2024-01-24,0.3465,323620000,113261808,MRKP
TQBR,2024-01-25,0.3457,151250000,52308604,MRKP
TQBR,2024-01-26,0.3432,97270000,33516502,MRKP
TQBR,2024-01-29,0.342,110480000,37947663,MRKP
TQBR,2024-01-30,0.3392,103680000,35383026,MRKP
TQBR,2024-01-31,0.337,98780000,33392329,MRKP
TQBR,2024-02-01,0.3384,175920000,59916402,MRKP
TQBR,2024-02-02,0.3382,72390000,24501306,MRKP
TQBR,2024-02-05,0.3376,111310000,37739609,MRKP
TQBR,2024-02-06,0.338,60690000,20505602,MRKP
TQBR,2024-02-07,0.3496,856090000,296473543,MRKP
TQBR,2024-02-08,0.3426,154020000,52987718,MRKP
TQBR,2024-02-09,0.3416,116140000,39537094,MRKP
TQBR,2024-02-12,0.3397,87000000,29616666,MRKP
TQBR,2024-02-13,0.3439,140180000,48214194,MRKP
TQBR,2024-02-14,0.3442,68920000,23726703,MRKP
TQBR,2024-02-15,0.3443,84090000,28920322,MRKP
TQBR,2024-02-16,0.3407,81950000,28052218,MRKP
TQBR,2024-02-19,0.3392,74470000,25246551,MRKP
TQBR,2024-02-20,0.3318,112510000,37617364,MRKP
TQBR,2024-02-21,0.3238,316890000,101776287,MRKP
TQBR,2024-02-22,0.3225,98410000,31960025,MRKP
TQBR,2024-02-26,0.3293,78220000,25704692,MRKP
TQBR,2024-02-27,0.328,71900000,23720868,MRKP
TQBR,2024-02-28,0.3256,71750000,23461932,MRKP
TQBR,2024-02-29,0.3324,144030000,47459427,MRKP
TQBR,2024-03-01,0.3288,105390000,34806935,MRKP
TQBR,2024-03-04,0.3296,120240000,39658106,MRKP
TQBR,2024-03-05,0.3317,79850000,26345544,MRKP
TQBR,2024-03-06,0.3337,104050000,34686885,MRKP
TQBR,2024-03-07,0.3332,64190000,21427918,MRKP
TQBR,2024-03-11,0.3292,161180000,53532673,MRKP
TQBR,2024-03-12,0.3304,71520000,23517802,MRKP
TQBR,2024-03-13,0.3309,75490000,25014985,MRKP
TQBR,2024-03-14,0.3246,155350000,50766043,MRKP
TQBR,2024-03-15,0.3257,69810000,22683711,MRKP
TQBR,2024-03-18,0.33,1070370000,352060141,MRKP
TQBR,2024-03-19,0.3225,390250000,127346664,MRKP
TQBR,2024-03-20,0.3223,123910000,40047860,MRKP
TQBR,2024-03-21,0.3274,160360000,52196049,MRKP
TQBR,2024-03-22,0.3237,308040000,100571544,MRKP
TQBR,2024-03-25,0.3264,175820000,57000176,MRKP
TQBR,2024-03-26,0.3297,125060000,41115413,MRKP
TQBR,2024-03-27,0.3331,116510000,38687168,MRKP
TQBR,2024-03-28,0.343,212890000,72030593,MRKP
TQBR,2024-03-29,0.3431,130240000,44540682,MRKP
TQBR,2024-04-01,0.3381,211410000,72145160,MRKP
TQBR,2024-04-02,0.34,72820000,24659670,MRKP
TQBR,2024-04-03,0.3412,94360000,32261008,MRKP
TQBR,2024-04-04,0.3416,108010000,36814186,MRKP
TQBR,2024-04-05,0.339,51540000,17490661,MRKP
TQBR,2024-04-08,0.3465,181990000,62381370,MRKP
TQBR,2024-04-09,0.3545,800910000,285238018,MRKP
TQBR,2024-04-10,0.3613,281790000,100968050,MRKP
TQBR,2024-04-11,0.354,166110000,59498142,MRKP
TQBR,2024-04-12,0.3559,254210000,90204228,MRKP
TQBR,2024-04-15,0.3597,210030000,75555760,MRKP
TQBR,2024-04-16,0.3661,357310000,130839254,MRKP
TQBR,2024-04-17,0.3685,209890000,77179073,MRKP
TQBR,2024-04-18,0.3627,226270000,82584034,MRKP
TQBR,2024-04-19,0.3626,119560000,43107548,MRKP
TQBR,2024-04-22,0.3653,121170000,44217499,MRKP
TQBR,2024-04-23,0.3645,351230000,129399073,MRKP
TQBR,2024-04-24,0.3604,138620000,50042765,MRKP
TQBR,2024-04-25,0.3596,56700000,20357841,MRKP
TQBR,2024-04-26,0.3583,151010000,53974947,MRKP
TQBR,2024-04-27,0.3664,208070000,75686982,MRKP
TQBR,2024-04-29,0.37,128740000,47635195,MRKP
TQBR,2024-04-30,0.3701,118570000,44160144,MRKP
TQBR,2024-05-02,0.3714,206750000,77276053,MRKP
TQBR,2024-05-03,0.3769,226680000,85052564,MRKP
TQBR,2024-05-06,0.3867,928490000,356416286,MRKP
TQBR,2024-05-07,0.3929,510310000,198731962,MRKP
TQBR,2024-05-08,0.3684,2320090000,879655848,MRKP
TQBR,2024-05-10,0.3676,516710000,189445314,MRKP
TQBR,2024-05-13,0.3692,334880000,123960730,MRKP
TQBR,2024-05-14,0.3658,373670000,137092765,MRKP
TQBR,2024-05-15,0.3614,321660000,117075944,MRKP
TQBR,2024-05-16,0.3596,145100000,52220791,MRKP
TQBR,2024-05-17,0.3637,151140000,54592890,MRKP
BOARDID,TRADEDATE,CLOSE,VOLUME,VALUE,TICKER
TQBR,2021-02-01,0.2145,612580000,131040920.4,FEES
TQBR,2021-02-02,0.21488,903750000,195187256.6,FEES
TQBR,2021-02-03,0.21696,1652610000,357650708.6,FEES
TQBR,2021-02-04,0.21698,835800000,181916080.8,FEES
TQBR,2021-02-05,0.21694,571710000,123682349.0,FEES
TQBR,2021-02-08,0.22018,1258560000,275731023.6,FEES
TQBR,2021-02-09,0.2201,998820000,218289328.8,FEES
TQBR,2021-02-10,0.21672,1143980000,249740581.2,FEES
TQBR,2021-02-11,0.21608,982060000,212929613.2,FEES
TQBR,2021-02-12,0.21838,1380650000,297854411.0,FEES
TQBR,2021-02-15,0.21994,1103920000,242230116.8,FEES
TQBR,2021-02-16,0.22156,1320700000,291603380.4,FEES
TQBR,2021-02-17,0.2199,1395850000,306334125.2,FEES
TQBR,2021-02-18,0.21786,1192690000,260667204.8,FEES
TQBR,2021-02-19,0.2155,1806390000,389659080.0,FEES
TQBR,2021-02-20,0.21612,370000000,79609099.8,FEES
TQBR,2021-02-22,0.21758,1086580000,234844815.0,FEES
TQBR,2021-02-24,0.2147,2442280000,521033423.2,FEES
TQBR,2021-02-25,0.21498,1370350000,295651181.8,FEES
TQBR,2021-02-26,0.21462,972410000,208323931.0,FEES
TQBR,2021-03-01,0.21428,777440000,165950560.4,FEES
TQBR,2021-03-02,0.21436,1088400000,231792789.6,FEES
TQBR,2021-03-03,0.2145,1541890000,330524239.2,FEES
TQBR,2021-03-04,0.21114,1366790000,290029079.8,FEES
TQBR,2021-03-05,0.21186,1149550000,242348480.4,FEES
TQBR,2021-03-09,0.2108,1223190000,257181933.2,FEES
TQBR,2021-03-10,0.21014,2368150000,496183959.6,FEES
TQBR,2021-03-11,0.211,795560000,167600674.4,FEES
TQBR,2021-03-12,0.21118,1877740000,395062134.6,FEES
TQBR,2021-03-15,0.2162,2290350000,490434075.6,FEES
TQBR,2021-03-16,0.21342,1378410000,294014123.6,FEES
TQBR,2021-03-17,0.2127,2041650000,434043372.2,FEES
TQBR,2021-03-18,0.2109,1732260000,369677954.6,FEES
TQBR,2021-03-19,0.21408,3166740000,677999800.2,FEES
TQBR,2021-03-22,0.2144,1390420000,298066244.8,FEES
TQBR,2021-03-23,0.2122,1649900000,354017031.2,FEES
TQBR,2021-03-24,0.2153,1494570000,319721470.6,FEES
TQBR,2021-03-25,0.21454,872100000,187006735.4,FEES
TQBR,2021-03-26,0.21486,1098730000,235299163.8,FEES
TQBR,2021-03-29,0.215,690940000,148523376.0,FEES
TQBR,2021-03-30,0.2168,1399880000,302756277.4,FEES
TQBR,2021-03-31,0.21742,859950000,186063579.4,FEES
TQBR,2021-04-01,0.2148,1397070000,301422055.4,FEES
TQBR,2021-04-02,0.21484,589080000,126449842.8,FEES
TQBR,2021-04-05,0.212,1804460000,383041901.2,FEES
TQBR,2021-04-06,0.21,1209250000,254656241.0,FEES
TQBR,2021-04-07,0.212,1637980000,345428673.4,FEES
TQBR,2021-04-08,0.2107,1257490000,264993547.4,FEES
TQBR,2021-04-09,0.21178,1721130000,362206424.6,FEES
TQBR,2021-04-12,0.212,871940000,184355916.8,FEES
TQBR,2021-04-13,0.21436,3033110000,646512358.2,FEES
TQBR,2021-04-14,0.21294,1521630000,324825114.8,FEES
TQBR,2021-04-15,0.2112,907230000,191829016.0,FEES
TQBR,2021-04-16,0.21378,811600000,172305757.8,FEES
TQBR,2021-04-19,0.21402,689390000,147526451.0,FEES
TQBR,2021-04-20,0.21218,700910000,149271735.2,FEES
TQBR,2021-04-21,0.21424,869490000,185453534.0,FEES
TQBR,2021-04-22,0.21374,923010000,197204892.6,FEES
TQBR,2021-04-23,0.21444,572680000,122487018.4,FEES
TQBR,2021-04-26,0.21624,1383330000,299146404.6,FEES
TQBR,2021-04-27,0.21474,910480000,195755561.2,FEES
TQBR,2021-04-28,0.2153,713310000,152713766.0,FEES
TQBR,2021-04-29,0.21454,628650000,134926741.4,FEES
TQBR,2021-04-30,0.2132,1104180000,235447032.0,FEES
TQBR,2021-05-04,0.2139,525290000,112366890.4,FEES
TQBR,2021-05-05,0.218,1154350000,250183032.8,FEES
TQBR,2021-05-06,0.2195,726840000,159104907.8,FEES
TQBR,2021-05-07,0.2199,640970000,140586726.6,FEES
TQBR,2021-05-10,0.21852,758810000,167009085.6,FEES
TQBR,2021-05-11,0.22164,1006520000,220827720.6,FEES
TQBR,2021-05-12,0.2216,2674160000,602504755.6,FEES
TQBR,2021-05-13,0.22008,1450880000,319263993.4,FEES
TQBR,2021-05-14,0.22408,1003860000,222774115.2,FEES
TQBR,2021-05-17,0.22502,1120130000,253006334.6,FEES
TQBR,2021-05-18,0.2245,1465780000,331417282.2,FEES
TQBR,2021-05-19,0.22558,939810000,212468877.4,FEES
TQBR,2021-05-20,0.22714,1821490000,413687355.0,FEES
TQBR,2021-05-21,0.22756,1446970000,329613801.0,FEES
TQBR,2021-05-24,0.22702,1372150000,311071088.0,FEES
TQBR,2021-05-25,0.2216,2079650000,464246745.4,FEES
TQBR,2021-05-26,0.2197,2759240000,604298398.8,FEES
TQBR,2021-05-27,0.21792,5579070000,1217057618.8,FEES
TQBR,2021-05-28,0.21814,1561900000,339876054.4,FEES
TQBR,2021-05-31,0.2193,858470000,188329236.8,FEES
TQBR,2021-06-01,0.21944,1582480000,346999293.8,FEES
